taxid	node	rank	n_children	n_tips	is_polytomy
239386	Serilophus lunatus	SPECIES	1	1	0
337173	Sinosuthora webbiana	SPECIES	1	1	0
9301	Sminthopsis crassicaudata	SPECIES	1	1	0
363769	Smithornis capensis	SPECIES	1	1	0
191813	Somniosus microcephalus	SPECIES	1	1	0
42254	Sorex araneus	SPECIES	1	1	0
103600	Sousa chinensis	SPECIES	1	1	0
8175	Sparus aurata	SPECIES	1	1	0
375764	Sphaeramia orbicularis	SPECIES	1	1	0
933632	Sphaerodactylus townsendi	SPECIES	1	1	0
8508	Sphenodon punctatus	SPECIES	1	1	0
40210	Spizella passerina	SPECIES	1	1	0
386267	Staurois parvus	SPECIES	1	1	0
48435	Steatornis caripensis	SPECIES	1	1	0
36305	Strix uralensis	SPECIES	1	1	0
441894	Struthio camelus australis	SUBSPECIES	1	1	0
409996	Stylephorus chordatus	SPECIES	1	1	0
73324	Sylvia borin	SPECIES	1	1	0
31033	Takifugu rubripes	SPECIES	1	1	0
48850	Tamandua tetradactyla	SPECIES	1	1	0
121530	Tauraco erythrolophus	SPECIES	1	1	0
446457	Telmatherina bonti	SPECIES	1	1	0
94439	Tenrec ecaudatus	SPECIES	1	1	0
54017	Thalassarche chlororhynchos	SPECIES	1	1	0
390379	Thalassophryne amazonica	SPECIES	1	1	0
74200	Thryothorus ludovicianus	SPECIES	1	1	0
237442	Tichodroma muraria	SPECIES	1	1	0
94827	Tinamus guttatus	SPECIES	1	1	0
135184	Todus mexicanus	SPECIES	1	1	0
83875	Trachurus japonicus	SPECIES	1	1	0
127582	Trichechus manatus latirostris	SUBSPECIES	1	1	0
246437	Tupaia belangeri chinensis	SUBSPECIES	1	1	0
137541	Tyrannus savana	SPECIES	1	1	0
56313	Tyto alba	SPECIES	1	1	0
458196	Urocolius indicus	SPECIES	1	1	0
34956	Vireo altiloquus	SPECIES	1	1	0
1517983	Xenoophorus captivus	SPECIES	1	1	0
8364	Xenopus tropicalis	SPECIES	1	1	0
208358	Xenotaenia resolanae	SPECIES	1	1	0
8245	Xiphias gladius	SPECIES	1	1	0
64108	Zeus faber	SPECIES	1	1	0
2485327	Zosterops hypoxanthus	SPECIES	1	1	0
