accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	v2_call
A0A091R4W2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	416.7	25.1	0.9398	interpro+calibration+sweep	InterPro	N331_01437	Inositol 1,4,5-trisphosphate receptor	Merops nubicus (Northern carmine bee-eater)	57421	Vertebrata	Metazoa	Chordata	Aves	Coraciiformes	Meropidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A091R7I3	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	396.4	28.0	0.9294	interpro+calibration+sweep	InterPro	N331_12848	Inositol 1,4,5-trisphosphate receptor type 3	Merops nubicus (Northern carmine bee-eater)	57421	Vertebrata	Metazoa	Chordata	Aves	Coraciiformes	Meropidae	270	0	fragment	0	Predicted	1	PF01365	PF01365	1		unassigned
A0A091RIJ3	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2582.7	160.3	0.9379	interpro+calibration+sweep	InterPro	N332_06129	Inositol 1,4,5-trisphosphate receptor	Mesitornis unicolor (brown roatelo)	54374	Vertebrata	Metazoa	Chordata	Aves	Mesitornithiformes	Mesitornithidae	1637	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A091SNX7	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2570.7	158.7	0.9383	interpro+calibration+sweep	InterPro	N334_10088	Inositol 1,4,5-trisphosphate receptor	Pelecanus crispus (Dalmatian pelican)	36300	Vertebrata	Metazoa	Chordata	Aves	Pelecaniformes	Pelecanidae	1650	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A091SSE1	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2581.9	160.1	0.938	interpro+calibration+sweep	InterPro	N333_10795	Inositol 1,4,5-trisphosphate receptor	Nestor notabilis (Kea)	176057	Vertebrata	Metazoa	Chordata	Aves	Psittaciformes	Psittacidae	1637	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A091T6B2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	416.7	25.1	0.9398	interpro+calibration+sweep	InterPro	N335_00772	Inositol 1,4,5-trisphosphate receptor	Phaethon lepturus (White-tailed tropicbird)	97097	Vertebrata	Metazoa	Chordata	Aves	Phaethontiformes	Phaethontidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A091UC05	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	415.8	25.1	0.9396	interpro+calibration+sweep	InterPro	N337_01214	Inositol 1,4,5-trisphosphate receptor	Phoenicopterus ruber ruber	9218	Vertebrata	Metazoa	Chordata	Aves	Phoenicopteriformes	Phoenicopteridae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A091UFQ9	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2584.1	0.0	1.0	interpro+calibration+sweep	InterPro	N335_05706	Inositol 1,4,5-trisphosphate receptor	Phaethon lepturus (White-tailed tropicbird)	97097	Vertebrata	Metazoa	Chordata	Aves	Phaethontiformes	Phaethontidae	1687	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A093C928	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2585.2	159.8	0.9382	interpro+calibration+sweep	InterPro	N340_07123	Inositol 1,4,5-trisphosphate receptor	Tauraco erythrolophus (Red-crested turaco)	121530	Vertebrata	Metazoa	Chordata	Aves	Musophagiformes	Musophagidae	1639	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A093CSX7	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2568.8	158.3	0.9384	interpro+calibration+sweep	InterPro	N339_06013	Inositol 1,4,5-trisphosphate receptor	Pterocles gutturalis (yellow-throated sandgrouse)	240206	Vertebrata	Metazoa	Chordata	Aves	Pterocliformes	Pteroclidae	1637	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A093F7F8	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	416.7	25.1	0.9398	interpro+calibration+sweep	InterPro	N341_10661	Inositol 1,4,5-trisphosphate receptor	Tyto alba (Barn owl)	56313	Vertebrata	Metazoa	Chordata	Aves	Strigiformes	Tytonidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A093HHZ5	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2583.4	160.1	0.938	interpro+calibration+sweep	InterPro	N328_02970	Inositol 1,4,5-trisphosphate receptor	Gavia stellata (Red-throated diver) (Colymbus stellatus)	37040	Vertebrata	Metazoa	Chordata	Aves	Gaviiformes	Gaviidae	1637	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A093I0L3	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2867.3	163.2	0.9431	interpro+calibration+sweep	InterPro	N308_15494	Inositol 1,4,5-trisphosphate receptor	Struthio camelus australis	441894	Vertebrata	Metazoa	Chordata	Aves	Struthioniformes	Struthionidae	1971	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A093L8T0	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	416.7	25.1	0.9398	interpro+calibration+sweep	InterPro	N327_03509	Inositol 1,4,5-trisphosphate receptor	Fulmarus glacialis (Northern fulmar)	30455	Vertebrata	Metazoa	Chordata	Aves	Procellariiformes	Procellariidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A094L751	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	415.1	25.0	0.9398	interpro+calibration+sweep	InterPro	N338_04650	Inositol 1,4,5-trisphosphate receptor	Podiceps cristatus (Great crested grebe)	345573	Vertebrata	Metazoa	Chordata	Aves	Podicipediformes	Podicipedidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A094NB13	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	417.1	25.1	0.9398	interpro+calibration+sweep	InterPro	N321_03161	Inositol 1,4,5-trisphosphate receptor	Antrostomus carolinensis (Chuck-will's-widow) (Caprimulgus carolinensis)	279965	Vertebrata	Metazoa	Chordata	Aves	Caprimulgiformes	Caprimulgidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A099ZEM9	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	396.6	28.0	0.9294	interpro+calibration+sweep	InterPro	N309_03231	Inositol 1,4,5-trisphosphate receptor type 3	Tinamus guttatus (White-throated tinamou)	94827	Vertebrata	Metazoa	Chordata	Aves	Tinamiformes	Tinamidae	270	0	fragment	0	Predicted	1	PF01365	PF01365	1		unassigned
A0A099ZQL4	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	415.6	24.8	0.9403	interpro+calibration+sweep	InterPro	N309_07625	Inositol 1,4,5-trisphosphate receptor	Tinamus guttatus (White-throated tinamou)	94827	Vertebrata	Metazoa	Chordata	Aves	Tinamiformes	Tinamidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A0B1S7M8	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	603.6	90.8	0.8496	interpro+calibration	InterPro	OESDEN_20427	Inositol 1,4,5-trisphosphate receptor	Oesophagostomum dentatum (Nodular worm)	61180	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Strongylidae	579	0	fragment	0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A0B1SS08	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	560.7	64.0	0.8859	interpro+calibration	InterPro	OESDEN_13605	RyR/IP3R Homology associated domain-containing protein	Oesophagostomum dentatum (Nodular worm)	61180	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Strongylidae	625	0		0	Predicted	1	PF08454	PF08454	1		unassigned
A0A0B1T157	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	59.1	544.5	0.8915	interpro+calibration	InterPro	OESDEN_08869	EF hand	Oesophagostomum dentatum (Nodular worm)	61180	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Strongylidae	296	0		0	Predicted	1	PF08454	PF08454;PF13499	1		unassigned
A0A0B2UW59	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	183.6	941.1	0.8049	interpro+calibration	InterPro	Rya-r44F	Ryanodine receptor 44F	Toxocara canis (Canine roundworm)	6265	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Toxocaridae	635	0		0	Predicted	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A0C2CLV8	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	193.6	1175.6	0.8353	interpro+calibration	InterPro	ANCDUO_12223	RIH domain protein	Ancylostoma duodenale	51022	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	850	0		0	Predicted	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A0C2D0C6	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	418.8	30.3	0.9277	interpro+calibration	InterPro	ANCDUO_14355	Inositol 1,4,5-trisphosphate receptor	Ancylostoma duodenale	51022	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	563	0		0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A0C2GGK8	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	343.1	0.0	1.0	interpro+calibration	InterPro	ANCDUO_09455	RIH domain protein	Ancylostoma duodenale	51022	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	512	0		0	Predicted	1	PF01365	PF01365	1		unassigned
A0A0D3HYU0	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	110.5	29.6	0.7321	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Emiliania huxleyi (strain CCMP1516)	280463	Eukaryota (other)		Haptophyta		Isochrysidales	Noelaerhabdaceae	236	0		0	Predicted	1	PF08709	PF08709	1		unassigned
A0A0D3IFT4	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	430.0	69.7	0.8379	interpro+calibration	InterPro		PH domain-containing protein	Emiliania huxleyi (strain CCMP1516)	280463	Eukaryota (other)		Haptophyta		Isochrysidales	Noelaerhabdaceae	1615	0		0	Predicted	0	PF01365;PF08709	PF00169;PF01365;PF02815;PF08709	3		unassigned
A0A0D3JYL6	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	124.7	34.5	0.7233	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Emiliania huxleyi (strain CCMP1516)	280463	Eukaryota (other)		Haptophyta		Isochrysidales	Noelaerhabdaceae	305	0		0	Predicted	1	PF08709	PF08709	1		unassigned
