species	organism	query	run	study	sample	strategy	source	selection	layout	platform	model	spots	bases	read_len	tissue_called	tissue_evidence	verdict	study_title
nalbiflora	Nibea albiflora	muscle	SRR23874483	SRP427558	SRS17055799	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	19806526	5941957800	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR5264436	SRP100099	SRS1984875	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	17666357	4416589250	250			reject:tissue_unconfirmed	Nibea albiflora Raw sequence reads
nalbiflora	Nibea albiflora	muscle	SRR5264514	SRP100099	SRS1984875	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	17666357	4416589250	250			reject:tissue_unconfirmed	Nibea albiflora Raw sequence reads
nalbiflora	Nibea albiflora	skin	SRR5264436	SRP100099	SRS1984875	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	17666357	4416589250	250			reject:tissue_unconfirmed	Nibea albiflora Raw sequence reads
nalbiflora	Nibea albiflora	skin	SRR5264514	SRP100099	SRS1984875	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	17666357	4416589250	250			reject:tissue_unconfirmed	Nibea albiflora Raw sequence reads
nalbiflora	Nibea albiflora	liver	SRR13438377	SRP301796	SRS8033384	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	25626625	7687987500	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438378	SRP301796	SRS8033382	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	24225951	7267785300	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438379	SRP301796	SRS8033383	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	25474977	7642493100	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438380	SRP301796	SRS8033381	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	25060877	7518263100	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438381	SRP301796	SRS8033380	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	24667148	7400144400	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438382	SRP301796	SRS8033379	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	24960002	7488000600	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438383	SRP301796	SRS8033378	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	23668211	7100463300	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438384	SRP301796	SRS8033377	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	24888920	7466676000	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438385	SRP301796	SRS8033376	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	23288281	6986484300	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438386	SRP301796	SRS8033375	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	25729409	7718822700	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438387	SRP301796	SRS8033374	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	22087541	6626262300	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438388	SRP301796	SRS8033386	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	25106769	7532030700	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438389	SRP301796	SRS8033385	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	24936719	7481015700	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438390	SRP301796	SRS8033372	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	23637230	7091169000	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR13438391	SRP301796	SRS8033373	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	24587500	7376250000	300	liver	tissue=Liver and Muscles	keep	Nibea albiflora transcriptome
nalbiflora	Nibea albiflora	liver	SRR10432572	SRP229570	SRS5638038	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23420629	6718274034	286	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432573	SRP229570	SRS5638037	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23633745	6733231344	284	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432574	SRP229570	SRS5638036	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	19436807	5555688347	285	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432575	SRP229570	SRS5638035	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23437715	6705826985	286	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432576	SRP229570	SRS5638034	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23724188	6750151013	284	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432577	SRP229570	SRS5638033	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23370390	6681074199	285	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432578	SRP229570	SRS5638032	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23489126	6712535494	285	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432579	SRP229570	SRS5638031	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23887959	6872777745	287	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432580	SRP229570	SRS5638030	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	21009683	6021008030	286	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432581	SRP229570	SRS5638029	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23371498	6701100869	286	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432582	SRP229570	SRS5638028	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23548623	6732731044	285	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR10432583	SRP229570	SRS5638027	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23794098	6821055145	286	liver	tissue=Liver	keep	yellow drum liver transcriptome under cold and starvation stresses
nalbiflora	Nibea albiflora	liver	SRR5264436	SRP100099	SRS1984875	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	17666357	4416589250	250			reject:tissue_unconfirmed	Nibea albiflora Raw sequence reads
nalbiflora	Nibea albiflora	liver	SRR5264514	SRP100099	SRS1984875	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	17666357	4416589250	250			reject:tissue_unconfirmed	Nibea albiflora Raw sequence reads
nalbiflora	Nibea albiflora	kidney	SRR31671671	SRP550664	SRS23497501	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	HiSeq X Ten	25332573	7599771900	300	kidney	experiment_title=Kidney cells of Nibea albiflora RNA-seq	keep	Kidney cells of Nibea albiflora
nalbiflora	Nibea albiflora	kidney	SRR31671672	SRP550664	SRS23497499	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	HiSeq X Ten	21619332	6485799600	300	kidney	experiment_title=Kidney cells of Nibea albiflora RNA-seq	keep	Kidney cells of Nibea albiflora
nalbiflora	Nibea albiflora	kidney	SRR31671673	SRP550664	SRS23497500	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	HiSeq X Ten	24242601	7272780300	300	kidney	experiment_title=Kidney cells of Nibea albiflora RNA-seq	keep	Kidney cells of Nibea albiflora
nalbiflora	Nibea albiflora	kidney	SRR31671674	SRP550664	SRS23497497	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	HiSeq X Ten	19756033	5926809900	300	kidney	experiment_title=Kidney cells of Nibea albiflora RNA-seq	keep	Kidney cells of Nibea albiflora
