taxid	scientific_name	rank	group	domain	kingdom	phylum	class	order	family	genus	clade	clade_from	lineage
1710539	Natrinema zhouii	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Halobacteria; Halobacteriales; Natrialbaceae; Natrinema
1712261	Pyruvatibacter mobilis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Parvibaculaceae	Pyruvatibacter	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Parvibaculaceae; Pyruvatibacter
1712410	Thermanaerosceptrum fracticalcis	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Thermanaerosceptrum	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Peptococcaceae; Thermanaerosceptrum
1712513	Syncephalis pseudoplumigaleata	species	Fungi	Eukaryota	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	Zoopagomycota	phylum	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Zoopagomycota; Zoopagomycotina; Zoopagomycetes; Zoopagales; Piptocephalidaceae; Syncephalis
1712654	Thermococcus piezophilus	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus
1714387	Triparma laevis f. longispina	forma	SAR	Eukaryota			Bolidophyceae	Parmales	Triparmaceae	Triparma	Bolidophyceae	class	cellular organisms; Eukaryota; Sar; Stramenopiles; Ochrophyta; Bolidophyceae; Parmales; Triparmaceae; Triparma; Triparma laevis
1715348	Sandaracinobacter neustonicus	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	Sandaracinobacter	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingosinicellaceae; Sandaracinobacter
1715720	Diaphorobacter ruginosibacter	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Diaphorobacter
1715806	Methanosarcina flavescens	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina
1717717	Labilibaculum antarcticum	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Marinilabiliales	Marinifilaceae	Labilibaculum	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Marinilabiliales; Marinifilaceae; Labilibaculum
1720083	Acetilactobacillus jinshanensis	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Acetilactobacillus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Acetilactobacillus
1720313	Bittarella massiliensis (ex Durand et al. 2017)	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Bittarella (ex Durand et al. 2017)	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Bittarella (ex Durand et al. 2017)
1720316	Senegalia massiliensis	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Senegalia	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Senegalia
1723382	Urinicoccus massiliensis	species	Bacteria	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Urinicoccus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Urinicoccus
