upid	organism	taxid	group	protein_count	n_itpr	n_ryr	n_unassigned	best_itpr_score	best_itpr_evalue	best_itpr_acc	itpr_status
UP000053676	Necator americanus (Human hookworm)	51031	metazoa_nonvert	19125	3	1	8	1312.8	0	W2SI90	present
UP000053766	Dictyocaulus viviparus (Bovine lungworm)	29172	metazoa_nonvert	14161	2	5	10	1432.2	0	A0A0D8XX81	present
UP000053825	Habropoda laboriosa	597456	metazoa_nonvert	12781	1	0	5	3676.6	0	A0A0L7R9I1	present
UP000054047	Ancylostoma duodenale	51022	metazoa_nonvert	27403	4	8	21	1068.6	0	A0A0C2GMK5	present
UP000054324	Opisthorchis viverrini (Southeast Asian liver fluke)	6198	metazoa_nonvert	16307	1	1	11	1616.8	0	A0A074Z731	present
UP000054359	Stegodyphus mimosarum (African social velvet spider)	407821	metazoa_nonvert	27009	4	2	14	480.1	6.8e-141	A0A087UUA3	present
UP000054495	Ancylostoma ceylanicum	53326	metazoa_nonvert	15861	3	2	8	1328.8	0	A0A0D6MBX8	present
UP000054630	Trichinella nelsoni	6336	metazoa_nonvert	16597	1	1	8	2643.4	0	A0A0V0SN43	present
UP000054653	Trichinella britovi (Parasitic roundworm)	45882	metazoa_nonvert	19931	1	1	7	2670.3	0	A0A0V1CWN1	present
UP000054721	Trichinella nativa	6335	metazoa_nonvert	16771	1	1	9	2657.0	0	A0A0V1LAA3	present
UP000054776	Trichinella spiralis (Trichina worm)	6334	metazoa_nonvert	18572	1	1	8	2637.3	0	A0A0V1C2W0	present
UP000054783	Trichinella patagoniensis	990121	metazoa_nonvert	18337	1	1	8	2666.7	0	A0A0V1A3Q0	present
UP000054805	Trichinella pseudospiralis (Parasitic roundworm)	6337	metazoa_nonvert	16171	1	1	6	2653.1	0	A0A0V1IZL4	present
UP000054843	Trichinella papuae	268474	metazoa_nonvert	15285	1	2	9	2670.7	0	A0A0V1MT52	present
UP000054995	Trichinella pseudospiralis (Parasitic roundworm)	6337	metazoa_nonvert	14319	1	1	9	2652.1	0	A0A0V1FR27	present
UP000055024	Trichinella zimbabwensis	268475	metazoa_nonvert	18195	1	1	5	2625.9	0	A0A0V1HGL2	present
UP000055048	Trichinella murrelli	144512	metazoa_nonvert	17983	1	1	7	2667.5	0	A0A0V0U3U1	present
UP000069272	Anopheles albimanus (New world malaria mosquito)	7167	metazoa_nonvert	12489	1	1	6	3604.4	0	A0A182FDY1	present
UP000070412	Sarcoptes scabiei (Itch mite) (Acarus scabiei)	52283	metazoa_nonvert	9161	1	1	4	3490.4	0	A0A834RG89	present
UP000075809	Mycetomoellerius zeteki	64791	metazoa_nonvert	14302	1	0	4	3690.6	0	A0A151WNH1	present
UP000075840	Anopheles arabiensis (Mosquito)	7173	metazoa_nonvert	13818	1	1	8	3635.4	0	A0A182I460	present
UP000075880	Anopheles atroparvus (European mosquito)	41427	metazoa_nonvert	15529	1	1	8	3636.7	0	A0AAG5DBZ0	present
UP000075881	Anopheles christyi	43041	metazoa_nonvert	10929	2	1	8	2291.9	0	A0A182K7K4	present
