branch_lengths	model	axis	rate	loglik	shape	argmax	at_boundary
unit	irreversible	loss	1	-776	monotone decreasing	1e-06	1
unit	irreversible	loss	1.77828	-1379.94	monotone decreasing	1e-06	1
unit	irreversible	loss	3.16228	-2453.93	monotone decreasing	1e-06	1
unit	irreversible	loss	5.62341	-4363.77	monotone decreasing	1e-06	1
unit	irreversible	loss	10	-7760	monotone decreasing	1e-06	1
unit	irreversible	loss	17.7828	-13799.4	monotone decreasing	1e-06	1
unit	irreversible	loss	31.6228	-24539.3	monotone decreasing	1e-06	1
unit	irreversible	loss	56.2341	nan	monotone decreasing	1e-06	1
unit	irreversible	loss	100	nan	monotone decreasing	1e-06	1
ultrametric	ER	loss	1e-06	-0.693213	monotone decreasing	1e-06	1
ultrametric	ER	loss	1.77828e-06	-0.693264	monotone decreasing	1e-06	1
ultrametric	ER	loss	3.16228e-06	-0.693355	monotone decreasing	1e-06	1
ultrametric	ER	loss	5.62341e-06	-0.693517	monotone decreasing	1e-06	1
ultrametric	ER	loss	1e-05	-0.693804	monotone decreasing	1e-06	1
ultrametric	ER	loss	1.77828e-05	-0.694315	monotone decreasing	1e-06	1
ultrametric	ER	loss	3.16228e-05	-0.695224	monotone decreasing	1e-06	1
ultrametric	ER	loss	5.62341e-05	-0.696841	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.0001	-0.699715	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.000177828	-0.704827	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.000316228	-0.713917	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.000562341	-0.73008	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.001	-0.758821	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.00177828	-0.809922	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.00316228	-0.900769	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.00562341	-1.06224	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.01	-1.34914	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.0177828	-1.85854	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.0316228	-2.76193	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.0562341	-4.36059	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.1	-7.17869	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.177828	-12.1117	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.316228	-20.6369	monotone decreasing	1e-06	1
ultrametric	ER	loss	0.562341	-35.0248	monotone decreasing	1e-06	1
ultrametric	ER	loss	1	-58.2679	monotone decreasing	1e-06	1
ultrametric	ER	loss	1.77828	-92.9434	monotone decreasing	1e-06	1
ultrametric	ER	loss	3.16228	-137.862	monotone decreasing	1e-06	1
ultrametric	ER	loss	5.62341	-183.232	monotone decreasing	1e-06	1
ultrametric	ER	loss	10	-208.572	monotone decreasing	1e-06	1
ultrametric	ER	loss	17.7828	-213.877	monotone decreasing	1e-06	1
ultrametric	ER	loss	31.6228	-214.181	monotone decreasing	1e-06	1
ultrametric	ER	loss	56.2341	-214.182	monotone decreasing	1e-06	1
ultrametric	ER	loss	100	-214.182	monotone decreasing	1e-06	1
ultrametric	ARD	loss	1e-06	-0.001065	monotone decreasing	1e-06	1
ultrametric	ARD	loss	1.77828e-06	-0.001893	monotone decreasing	1e-06	1
ultrametric	ARD	loss	3.16228e-06	-0.003365	monotone decreasing	1e-06	1
ultrametric	ARD	loss	5.62341e-06	-0.005977	monotone decreasing	1e-06	1
ultrametric	ARD	loss	1e-05	-0.010607	monotone decreasing	1e-06	1
ultrametric	ARD	loss	1.77828e-05	-0.018794	monotone decreasing	1e-06	1
ultrametric	ARD	loss	3.16228e-05	-0.03321	monotone decreasing	1e-06	1
ultrametric	ARD	loss	5.62341e-05	-0.058403	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.0001	-0.101878	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.000177828	-0.175351	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.000316228	-0.295538	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.000562341	-0.483117	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.001	-0.758821	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.00177828	-1.13862	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.00316228	-1.63374	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.00562341	-2.25992	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.01	-3.05463	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.0177828	-4.1008	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.0316228	-5.56179	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.0562341	-7.74024	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.1	-11.1825	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.177828	-16.865	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.316228	-26.5273	monotone decreasing	1e-06	1
ultrametric	ARD	loss	0.562341	-43.2644	monotone decreasing	1e-06	1
ultrametric	ARD	loss	1	-72.5809	monotone decreasing	1e-06	1
ultrametric	ARD	loss	1.77828	-124.265	monotone decreasing	1e-06	1
ultrametric	ARD	loss	3.16228	-215.716	monotone decreasing	1e-06	1
