symbol	ensembl_gene	status
ADAM15	ENSG00000143537	background
ADAM17	ENSG00000151694	background
ADAM18	ENSG00000168619	background
ADAM19	ENSG00000135074	background
ADAM1A	ENSG00000229186	background
ADAM1B	ENSG00000226469	background
ADAM2	ENSG00000104755	background
ADAM20	ENSG00000134007	background
ADAM20P1	ENSG00000290783	background
ADAM20P2	ENSG00000248574	background
ADAM20P3	ENSG00000249162	background
ADAM21	ENSG00000139985	background
ADAM21P1	ENSG00000235812	background
ADAM22	ENSG00000008277	background
ADAM23	ENSG00000114948	background
ADAM24P	ENSG00000214607	background
ADAM28	ENSG00000042980	background
ADAM29	ENSG00000168594	background
ADAM30	ENSG00000134249	background
ADAM32	ENSG00000197140	background
ADAM33	ENSG00000149451	background
ADAM3A	ENSG00000293380	background
ADAM3B	ENSG00000260089	background
ADAM5	ENSG00000196115	background
ADAM6	ENSG00000290844	background
ADAM7	ENSG00000069206	background
ADAM7-AS1	ENSG00000253535	background
ADAM7-AS2	ENSG00000253643	background
ADAM8	ENSG00000151651	background
ADAM9	ENSG00000168615	background
ADAMDEC1	ENSG00000134028	background
ADAMTS1	ENSG00000154734	background
ADAMTS10	ENSG00000142303	background
ADAMTS10-AS1	ENSG00000267986	background
ADAMTS12	ENSG00000151388	background
ADAMTS13	ENSG00000160323	background
ADAMTS14	ENSG00000138316	wanted
ADAMTS15	ENSG00000166106	background
ADAMTS16	ENSG00000145536	background
ADAMTS16-AS1	ENSG00000250866	background
ADAMTS16-DT	ENSG00000250579	background
ADAMTS17	ENSG00000140470	background
ADAMTS17-AS1	ENSG00000259356	background
ADAMTS18	ENSG00000140873	background
ADAMTS19	ENSG00000145808	background
ADAMTS19-AS1	ENSG00000249421	background
ADAMTS2	ENSG00000087116	background
ADAMTS20	ENSG00000173157	background
ADAMTS3	ENSG00000156140	background
ADAMTS4	ENSG00000158859	background
ADAMTS5	ENSG00000154736	background
ADAMTS6	ENSG00000049192	background
ADAMTS7	ENSG00000136378	background
ADAMTS7P1	ENSG00000274376	background
ADAMTS7P3	ENSG00000261143	background
ADAMTS7P4	ENSG00000218052	background
ADAMTS7P5	ENSG00000274717	background
ADAMTS8	ENSG00000134917	background
ADAMTS9	ENSG00000163638	wanted
ADAMTS9-AS1	ENSG00000241158	background
ADAMTS9-AS2	ENSG00000241684	background
ADAMTSL1	ENSG00000178031	background
ADAMTSL2	ENSG00000197859	background
ADAMTSL3	ENSG00000156218	background
ADAMTSL4	ENSG00000143382	background
ADAMTSL4-AS1	ENSG00000203804	background
ADAMTSL4-AS2	ENSG00000237781	background
ADAMTSL5	ENSG00000185761	background
ADAP1	ENSG00000105963	background
ADAP2	ENSG00000184060	background
ADAR	ENSG00000160710	background
ADARB1	ENSG00000197381	background
ADARB2	ENSG00000185736	wanted
ADARB2-AS1	ENSG00000205696	background
ADAT1	ENSG00000065457	background
ADAT2	ENSG00000189007	background
ADAT3	ENSG00000213638	background
ADCK1	ENSG00000063761	background
ADCK2	ENSG00000133597	background
ADCK5	ENSG00000173137	background
ADCY1	ENSG00000164742	background
ADCY10	ENSG00000143199	background
ADCY10P1	ENSG00000161912	background
ADCY2	ENSG00000078295	background
ADCY2-AS1	ENSG00000250761	background
ADCY3	ENSG00000138031	background
ADCY4	ENSG00000129467	background
ADCY5	ENSG00000173175	background
ADCY6	ENSG00000174233	background
ADCY6-DT	ENSG00000257660	background
ADCY7	ENSG00000121281	background
ADCY8	ENSG00000155897	background
ADCY9	ENSG00000162104	background
ADCYAP1	ENSG00000141433	background
ADCYAP1R1	ENSG00000078549	background
ADD1	ENSG00000087274	background
ADD2	ENSG00000075340	background
ADD2-AS1	ENSG00000235035	background
ADD3	ENSG00000148700	background
ADD3-AS1	ENSG00000203876	background
ADGB	ENSG00000118492	background
ADGB-DT	ENSG00000237468	background
ADGRA1	ENSG00000197177	background
ADGRA1-AS1	ENSG00000256925	background
ADGRA2	ENSG00000020181	background
ADGRA3	ENSG00000152990	background
ADGRA3P1	ENSG00000256616	background
ADGRB1	ENSG00000181790	background
ADGRB2	ENSG00000121753	background
ADGRB3	ENSG00000135298	background
ADGRB3-DT	ENSG00000230910	background
ADGRD1	ENSG00000111452	background
ADGRD1-AS1	ENSG00000256151	background
