query	target	query_role	target_role	query_call	target_call	query_paralog	target_paralog	tm_query	tm_target	tm_max	rmsd	aligned	seq_identity	len_query	len_target	ok	error
model_A0A6A5BJU9	model_G0QNB9	model	model	ITPR	ITPR	FDP41_006910	IMG5_057070	0.5292	0.5166	0.5292	6.99	837	0.145	1238	1273	1	
model_A0A6A5BJU9	model_P11881	model	model	ITPR	ITPR	FDP41_006910	ITPR1	0.5648	0.2786	0.5648	5.85	844	0.201	1238	2694	1	
model_A0A6A5BJU9	model_P70227	model	model	ITPR	ITPR	FDP41_006910	ITPR3	0.5742	0.2852	0.5742	5.91	856	0.2	1238	2670	1	
model_A0A6A5BJU9	model_Q14573	model	model	ITPR	ITPR	FDP41_006910	ITPR3	0.5775	0.2877	0.5775	6.01	868	0.19	1238	2671	1	
model_A0A6A5BJU9	model_Q14643	model	model	ITPR	ITPR	FDP41_006910	ITPR1	0.5669	0.279	0.5669	5.8	843	0.205	1238	2695	1	
model_A0A6A5BJU9	model_Q63269	model	model	ITPR	ITPR	FDP41_006910	ITPR3	0.574	0.2854	0.574	6.09	861	0.18	1238	2670	1	
model_A0A6A5BJU9	model_Q8WSR4	model	model	ITPR	ITPR	FDP41_006910		0.5606	0.2758	0.5606	5.87	836	0.189	1238	2698	1	
model_A0A6A5BJU9	model_Q9Y0A1	model	model	ITPR	ITPR	FDP41_006910		0.5908	0.4405	0.5908	5.69	872	0.179	1238	1713	1	
model_A0A6A5BJU9	model_Q9Z329	model	model	ITPR	ITPR	FDP41_006910	ITPR2	0.5591	0.2788	0.5591	6.1	842	0.205	1238	2668	1	
model_A0A6A5BJU9	reference_ITPR1_7LHF	model	reference	ITPR	ITPR	FDP41_006910	ITPR1	0.5591	0.3179	0.5591	5.8	827	0.185	1238	2300	1	
model_A0A6A5BJU9	reference_ITPR2_9YKK	model	reference	ITPR	ITPR	FDP41_006910	ITPR2	0.5507	0.3311	0.5507	5.77	816	0.211	1238	2168	1	
model_A0A6A5BJU9	reference_ITPR3_8TKG	model	reference	ITPR	ITPR	FDP41_006910	ITPR3	0.5838	0.3413	0.5838	4.86	830	0.195	1238	2210	1	
model_A0A6A5BJU9	reference_RYR1_9NMO	model	reference	ITPR	RYR	FDP41_006910	RYR1	0.5309	0.1662	0.5309	5.97	793	0.146	1238	4373	1	
model_A0A6A5BJU9	reference_RYR2_7U9X	model	reference	ITPR	RYR	FDP41_006910	RYR2	0.5206	0.1694	0.5206	6.17	787	0.136	1238	4224	1	
model_A0A6A5BJU9	state_panel_ITPR3_6DQJ	model	state_panel	ITPR	ITPR	FDP41_006910	ITPR3	0.5394	0.3234	0.5394	5.99	809	0.199	1238	2181	1	
model_A0A6A5BJU9	state_panel_ITPR3_7T3P	model	state_panel	ITPR	ITPR	FDP41_006910	ITPR3	0.5618	0.3554	0.5618	5.7	827	0.198	1238	2047	1	
model_A0A6A5BJU9	state_panel_ITPR3_8TKF	model	state_panel	ITPR	ITPR	FDP41_006910	ITPR3	0.5734	0.3277	0.5734	5.23	827	0.196	1238	2272	1	
