accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name	s2_call	s2_arch_call	s2_reason	s2_arch	s2_group	is_seed
A0A077YYA4	ITPR	high	architecture	itpr.hmm wins by 2071.4 bits (84.7% of 2445.8) over 2504 profile positions	2445.8	374.4	2071.4	0.8469	0	4.1e-112	0	0.933	0.235	2504	1159	0.98	2639	TTRE_0000103301	Trichuris trichiura	36087	0	Inositol 1,4,5-trisphosphate receptor	ITPR	ITPR	itpr_arch_complete	5	Metazoa (non-vertebrate)	0
A0A077YYK0	RYR	high	architecture	ryr.hmm wins by 5220.5 bits (88.7% of 5887.8) over 4925 profile positions	667.3	5887.8	5220.5	0.8867	3.5e-200	0	0	0.7	0.999	1879	4925	0.999	5172	TTRE_0000115801	Trichuris trichiura	36087	0	Ryanodine receptor	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	5	Metazoa (non-vertebrate)	0
A0A077ZVT6	ITPR	high	architecture	itpr.hmm wins by 358.1 bits (60.2% of 594.6) over 2571 profile positions	594.6	236.5	358.1	0.6023	2.8e-178	1.4e-70	2.8e-178	0.958	0.221	2571	1090	0.943	3398	Contig10331.g11023	Stylonychia lemnae	5949	0	Inositol-triphosphate receptor	ITPR	ITPR	itpr_arch_partial=4/5;length_in_band	4	SAR	0
A0A077ZYI0	ITPR	high	architecture	itpr.hmm wins by 221.9 bits (63.6% of 349.1) over 1860 profile positions	349.1	127.2	221.9	0.6356	2.9e-104	1.3e-37	2.9e-104	0.693	0.148	1860	730	0.75	2799	Contig4758.g5084	Stylonychia lemnae	5949	0	RyR/IP3R Homology associated domain-containing protein	unassigned	unassigned	itpr_arch_weak=1/5	1	SAR	0
A0A078A1U0	ITPR	high	architecture	itpr.hmm wins by 283.1 bits (50.9% of 556.1) over 2013 profile positions	556.1	273.0	283.1	0.5091	1.2e-166	1.5e-81	1.2e-166	0.75	0.152	2013	749	0.738	3530	Contig1440.g1580	Stylonychia lemnae	5949	0	Cation channel family protein	ITPR	ITPR	itpr_arch_partial=3/5;length_in_band	3	SAR	0
A0A078A4T9	ITPR	medium	partial	itpr.hmm wins by 187.1 bits (54.4% of 343.6) over 1135 profile positions	343.6	156.5	187.1	0.5445	1.3e-102	1.8e-46	1.3e-102	0.423	0.057	1135	281	0.64	2116	Contig15245.g16249	Stylonychia lemnae	5949	0	Uncharacterized protein	unassigned	unassigned	itpr_arch_weak=2/5	2	SAR	0
A0A078A8I0	ITPR	high	architecture	itpr.hmm wins by 796.4 bits (70.1% of 1135.8) over 2571 profile positions	1135.8	339.4	796.4	0.7012	0	1.5e-101	0	0.958	0.266	2571	1311	0.99	2894	Contig9742.g10423	Stylonychia lemnae	5949	0	Cation channel family protein	ITPR	ITPR	itpr_arch_complete	5	SAR	0
A0A078ASZ8	ITPR	high	architecture	itpr.hmm wins by 949.5 bits (71.6% of 1326.9) over 2571 profile positions	1326.9	377.4	949.5	0.7156	0	5.3e-113	0	0.958	0.258	2571	1272	0.998	2773	Contig10368.g11065	Stylonychia lemnae	5949	0	Cation channel family protein	ITPR	ITPR	itpr_arch_complete	5	SAR	0
A0A084W6J0	ITPR	high	architecture	itpr.hmm wins by 3186.8 bits (87.9% of 3625.8) over 2625 profile positions	3625.8	439.0	3186.8	0.8789	0	1.5e-131	0	0.978	0.243	2625	1198	0.994	2987		Anopheles sinensis	74873	0	Inositol 1,4,5-trisphosphate receptor	ITPR	ITPR	itpr_arch_complete	5	Metazoa (non-vertebrate)	0
A0A084WAS3	RYR	high	architecture	ryr.hmm wins by 6359.0 bits (89.9% of 7072.3) over 4930 profile positions	713.3	7072.3	6359.0	0.8991	4.6e-214	0	0	0.764	1.0	2051	4930	0.999	5077		Anopheles sinensis	74873	0	Uncharacterized protein	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	5	Metazoa (non-vertebrate)	0
